"","Family","sites","studies","species","percent","sites_1","studies_1","sites_2","studies_2","sites_low","studies_low","sites_high","studies_high","Abundance","SpeciesRichness"
"1","Unspecified","416","20","1","25.2274106","150","11","156","13","79","6","31","6","303","340"
"2","Noctuidae","260","6","2","15.7671316","59","4","136","4","34","3","31","4","209","209"
"3","Nymphalidae","193","11","11","11.7040631","24","8","109","8","36","3","24","3","193","193"
"4","Micropterigidae","152","1","1","9.2177077","0","0","38","1","114","1","0","0","147","147"
"5","Geometridae","87","3","2","5.2759248","6","1","27","2","36","1","18","1","21","27"
"6","Lycaenidae","82","5","5","4.9727107","59","4","6","2","13","3","4","2","80","80"
"7","Hesperiidae","79","4","3","4.7907823","21","2","54","3","4","1","0","0","31","62"
"8","Pieridae","65","2","2","3.9417829","15","1","15","1","10","1","25","2","18","61"
"9","Bombycidae","64","1","1","3.8811401","16","1","48","1","0","0","0","0","64","64"
"10","Zygaenidae","42","2","1","2.5469982","0","0","28","2","14","1","0","0","15","41"
"11","Arctiidae","39","2","2","2.3650697","5","1","11","2","12","1","11","2","25","25"
"12","Gelechiidae","34","2","1","2.0618557","0","0","0","0","0","0","34","2","11","11"
"13","Papilionidae","34","3","3","2.0618557","3","1","30","2","1","1","0","0","34","34"
"14","Blastobasidae","33","3","1","2.0012129","0","0","0","0","0","0","33","3","20","20"
"15","Crambidae","26","1","1","1.5767132","10","1","16","1","0","0","0","0","26","26"
"16","Hepialidae","18","2","1","1.0915706","0","0","0","0","12","2","6","1","6","6"
"17","Lasiocampidae","16","1","1","0.9702850","4","1","8","1","4","1","0","0","16","16"
"18","Riodinidae","9","2","2","0.5457853","4","2","3","1","2","1","0","0","9","9"
