"","Order","Realm","Sites","Studies","Species","sites_1","studies_1","sites_2","studies_2","sites_low","studies_low","sites_high","studies_high","Abundance","SpeciesRichness"
"1","Coleoptera","NonTropical","1308","65","32","542","28","280","35","292","26","194","26","1115","1135"
"2","Coleoptera","Tropical","1007","34","18","356","24","224","19","174","15","253","17","932","932"
"3","Diptera","NonTropical","456","35","14","67","10","145","17","82","10","162","17","337","357"
"4","Diptera","Tropical","265","14","8","28","6","105","8","61","7","71","7","177","177"
"5","Hemiptera","NonTropical","615","23","7","131","8","107","13","263","9","114","11","561","581"
"6","Hemiptera","Tropical","256","9","2","29","3","104","5","48","2","75","6","221","221"
"7","Hymenoptera","NonTropical","2467","97","36","318","24","497","50","450","29","1202","49","2202","2307"
"8","Hymenoptera","Tropical","861","51","17","246","35","245","30","145","20","225","29","663","718"
"9","Lepidoptera","NonTropical","1112","43","22","253","17","505","27","272","16","82","11","912","997"
"10","Lepidoptera","Tropical","537","28","21","123","21","180","17","99","10","135","15","316","374"
